tier,formula,k,n,h,eps,solver,lambda_min,lambda_max,kappa,min_converged,max_converged,asym_rel,mass_lambda_min,svds_smin,svds_smax,svds_kappa,svds_checked,l2_err,h1_err,energy_err,cg_iters,solve_converged,assemble_time,solve_time,seed,n_dof_active,n_dof_total,quantity,slope_p,slope_R2
T1-slope,F1,1,,,0.1,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,l2,0.6155371464843763,0.5727163053237214
T1-slope,F1,1,,,0.1,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,h1,0.24826700860232703,0.42241628657700603
T1-slope,F1,1,,,0.1,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,energy,0.37826774081983,0.7562235686748189
T1,F1,1,8.0,0.125,0.01,S1_lu,0.2363673209359669,1810.851200334187,7661.174113086283,True,True,1.5721456508532234e-17,,,,,False,0.012657796241065543,0.21218830945164788,0.29488883160670776,0.0,True,0.06468979200008107,0.00020041599964315537,12345,29.0,81.0,,,
T1,F1,1,8.0,0.125,0.01,S2_cg_jacobi,0.2363673209359669,1810.851200334187,7661.174113086283,True,True,1.5721456508532234e-17,,,,,False,,,,31.0,True,0.06468979200008107,0.0011954999999943539,12345,29.0,81.0,,,
T1,F1,1,8.0,0.125,0.01,S3_cg_amg,0.2363673209359669,1810.851200334187,7661.174113086283,True,True,1.5721456508532234e-17,,,,,False,,,,13.0,True,0.06468979200008107,0.004499749999922642,12345,29.0,81.0,,,
T1,F1,1,16.0,0.0625,0.01,S1_lu,0.20495402535311089,5558.9191173306135,27122.761349786964,True,True,1.568908273832173e-17,,,,,False,0.018589512663019572,0.2809677795922515,0.29489837170107813,0.0,True,0.11998924999988958,0.00025012500009324867,12345,43.0,289.0,,,
T1,F1,1,16.0,0.0625,0.01,S2_cg_jacobi,0.20495402535311089,5558.9191173306135,27122.761349786964,True,True,1.568908273832173e-17,,,,,False,,,,46.0,True,0.11998924999988958,0.0014157909999994445,12345,43.0,289.0,,,
T1,F1,1,16.0,0.0625,0.01,S3_cg_amg,0.20495402535311089,5558.9191173306135,27122.761349786964,True,True,1.568908273832173e-17,,,,,False,,,,12.0,True,0.11998924999988958,0.004218333000153507,12345,43.0,289.0,,,
T1,F1,1,32.0,0.03125,0.01,S1_lu,0.14327669150400013,17526.08002685855,122323.31611572174,True,True,4.088075955248751e-18,,,,,False,0.011180836838991362,0.2207343090587015,0.2221790349142194,0.0,True,0.3270426250001037,0.00045262499997988925,12345,55.0,1089.0,,,
